,GEOID,water,tree_canopy_perc,potential_tree_canopy,impervious_surface,area,water_acres,tree_canopy_perc_acres,potential_tree_canopy_acres,impervious_surface_acres,poverty_percent,poverty_percent_normalized,incorporated_place_name,incorporated_place_mean_tree_equity_score,poc_percent,poc_percent_normalized,unemployment_rate,unemployment_rate_normalized,dependent_ratio,dependent_ratio_normalized,child_percent,senior_percent,tree_equity_score,congressional_district,mental_health,health_normalized,total_population,tree_canopy_goal,tree_canopy_gap,temperature,temperature_normalized,holc_grade,afternoon_air_average_temperature,evening_air_average_temperature,equity_index,tree_canopy_gap_max
13,517600107001,0.0,0.1781311611710907,0.4497660041242545,0.47051487324708896,120.06987129017446,0.0,21.388185594582183,54.003346225895314,56.49466027089072,0.460696517412935,0.460696517412935,Richmond,82.27933240206322,0.915422885572139,0.914583221078722,0.12375249500998,0.326670189033697,0.334661354581673,0.113320262543035,0.066666666666667,0.18407960199005,76.41231676090021,VA Congressional District 4,15.4,0.474756321743351,1005.0,0.4,0.221868838828909,72.7380073800738,0.643878140348027,D,91.42399419908278,88.66143059617566,0.488984108693295,0.459944858941182
14,517600107002,0.0,0.2491073634097595,0.3932765938335092,0.46319043662467346,66.02303455922865,0.0,16.446824063360882,25.965314146005507,30.581238204775023,0.372164948453608,0.372164948453608,Richmond,82.27933240206322,0.914432989690722,0.913583497711117,0.0,0.0,0.534810126582278,0.182193519834152,0.157731958762887,0.190721649484536,86.17565689914028,VA Congressional District 4,15.4,0.474756321743351,970.0,0.4,0.15089263659024,72.1986531986532,0.585630071213902,C,91.59910551030586,88.67129480718653,0.421388059826022,0.459944858941182
15,517600107003,0.0,0.25315139174509266,0.4413839447016435,0.44004673481034245,73.17746974517905,0.0,18.52497831037649,32.2993602594123,32.201506623048665,0.578544061302682,0.578544061302682,Richmond,82.27933240206322,0.883141762452107,0.881981617494502,0.092150170648464,0.243249347520578,0.45,0.1530094803289,0.21455938697318,0.095785440613027,75.2790175628109,VA Congressional District 4,15.4,0.474756321743351,522.0,0.48,0.226848608254907,73.03384615384616,0.675827530824356,C,91.15228359199251,88.54765980644012,0.501228059869061,0.459944858941182
16,517600108001,0.0,0.22895596715483554,0.45350159759429604,0.4118339514555558,136.65383870752984,0.0,31.287711806703395,61.97273417125803,56.27869037649219,0.556371263765076,0.556371263765076,Richmond,82.27933240206322,0.978590078328982,0.978377524954991,0.109263657957245,0.288423920637138,0.545601291364003,0.185906870963183,0.243342036553525,0.109660574412533,80.87841969832527,VA Congressional District 4,17.3,0.602305494478597,1915.0,0.4,0.171044032845164,71.16260162601625,0.473740693679966,C,91.0780113356775,88.62508310674232,0.514187628079825,0.459944858941182
17,517600108002,0.0,0.18805568792974334,0.45592790523521004,0.46281571243787867,145.18909742883378,0.0,27.303635596877864,66.195761053719,67.19579556473828,0.504435245416913,0.504435245416913,Richmond,82.27933240206322,0.964201877934272,0.963846481415569,0.096491228070175,0.254708462332301,0.621313035204567,0.211960063103051,0.257629107981221,0.125586854460094,75.90053168741947,VA Congressional District 4,17.3,0.602305494478597,1704.0,0.4,0.211944312070257,72.33792048929664,0.600670375067958,D,90.79071792267229,88.76240624538421,0.522987686969065,0.459944858941182
18,517600108003,0.0,0.19503862963570825,0.440736485706123,0.4564557993082529,81.30302814049587,0.0,15.857231193755739,35.833210899908174,37.11123869605142,0.352380952380952,0.352380952380952,Richmond,82.27933240206322,0.910204081632653,0.90931260590879,0.033707865168539,0.088978849966953,0.361111111111111,0.122421896635169,0.058503401360544,0.206802721088435,80.5979674290694,VA Congressional District 4,17.3,0.602305494478597,735.0,0.4,0.204961370364292,71.74794520547945,0.536955431709782,D,91.30228545670072,88.9109580891741,0.435392538513374,0.459944858941182
19,517600109001,0.0,0.40268177391386967,0.3513334215607429,0.33214565666642915,145.64031141873278,0.0,58.64669895546373,51.16830892791552,48.37379687327824,0.746502057613169,0.746502057613169,Richmond,82.27933240206322,0.874897119341564,0.873655123233944,0.089715536105033,0.236822628394903,0.511194029850746,0.174066977312084,0.178600823045267,0.159670781893004,100.0,VA Congressional District 4,17.6,0.571020644983278,1215.0,0.4,0.0,70.78571428571429,0.433038385975845,D,90.33883846400778,87.17906770424658,0.505850969585537,0.459944858941182
20,517600109002,0.0,0.26513849694944114,0.37004776844129844,0.4753117560814113,62.69650513314967,0.0,16.623257134986225,23.20070181359045,29.800385955004586,0.295833333333333,0.295833333333333,Richmond,82.27933240206322,1.0,1.0,0.0,0.0,0.322916666666667,0.109278794266769,0.145669291338583,0.098425196850394,80.34100358926518,VA Congressional District 4,17.6,0.571020644983278,254.0,0.48,0.214861503050559,71.8581560283688,0.548857754621378,D,90.93543381796265,88.2962251416515,0.420831754534126,0.459944858941182
21,517600109003,0.0,0.21650758259250533,0.38730698724837226,0.47909112328105874,43.00049555325987,0.0,9.309933342516068,16.654392382920108,20.60115571625344,0.624169986719788,0.624169986719788,Richmond,82.27933240206322,0.891102257636122,0.890021142865362,0.0,0.0,0.8825,0.301837192238709,0.301460823373174,0.167330677290837,89.11915260454744,VA Congressional District 4,17.6,0.571020644983278,753.0,0.32,0.103492417407495,71.53886010362694,0.514375086758079,D,90.97817579247496,88.39782660911827,0.483570675594202,0.459944858941182
22,517600109004,0.0003040000371297755,0.2280983773996611,0.4371097286380835,0.5250713804870122,212.90084853076215,0.06472186585831241,48.562338096877866,93.06103212809916,111.78814244490356,0.598081023454158,0.598081023454158,Richmond,82.27933240206322,0.849115504682622,0.847617553916836,0.024640657084189,0.065044087450175,0.615126050420168,0.209831057810373,0.195629552549428,0.18522372528616,73.47527227645851,VA Congressional District 4,17.6,0.571020644983278,961.0,0.48,0.251901622600339,72.46394984326018,0.614281035326978,D,91.16154846540798,88.73729902368042,0.484312567156966,0.459944858941182
